"page","name","properties","status","comment","call_type","destination"
"header","Cart Viewed","{""cart_id"":"""",""products"":[{""product_id"":"""",""category"":"""",""name"":"""",""brand"":"""",""variant"":""e.g color/pattern/model/version"",""price"":""final price"",""position"":""client-side position"",""url"":""url of the product page"",""image_url"":""url of the main image""}]}","Verified","","track","Google Analytics"
"page_home_ongoing","Product List Viewed","{""list_id"":""ongoing_sales"",""category"":""sale category"",""position"":""client-side position"",""sale_id"":""""}","Failed","tu peux declencher ca sur la page de la vente plutot","track","Google Analytics"
"page_home_upcoming","Product List Viewed","{""list_id"":""upcoming_sales"",""category"":""sale category"",""position"":""client-side position"",""sale_id"":""""}","Failed","tu peux declencher ca sur la page de la vente plutot","track","Google Analytics"
"page_sale_ongoing","Product Clicked","{""product_id"":"""",""category"":"""",""name"":"""",""brand"":"""",""variant"":""e.g color/pattern/model/version"",""price"":""final price"",""position"":""client-side position"",""url"":""url of the product page"",""image_url"":""url of the main image"",""sale_id"":""""}","Failed","","track","Google Analytics"
"page_sale_upcoming","Reminder Clicked","{""category"":"""",""brand"":"""",""sale_id"":""""}","Verified","","track","Google Analytics"
"page_item","Product Viewed","{""product_id"":"""",""category"":"""",""name"":"""",""brand"":"""",""variant"":""e.g color/pattern/model/version"",""price"":""final price"",""url"":""url of the product page"",""image_url"":""url of the main image""}","Verified","","track","Google Analytics"
"page_item","Product Added","{""cart_id"":"""",""product_id"":"""",""category"":"""",""name"":"""",""brand"":"""",""variant"":""e.g color/pattern/model/version"",""price"":""final price"",""url"":""url of the product page"",""image_url"":""url of the main image""}","Verified","","track","Google Analytics"
"page_summary","Product Removed","{""cart_id"":"""",""product_id"":"""",""category"":"""",""name"":"""",""brand"":"""",""variant"":""e.g color/pattern/model/version"",""price"":""final price"",""position"":""client-side position"",""url"":""url of the product page"",""image_url"":""url of the main image""}","Verified","","track","Google Analytics"
"page_summary","Coupon Applied","{""order_id"":""50314b8e9bcf000000000000"",""cart_id"":""923923929jd29jd92dj9j93fj3"",""coupon_id"":""may_deals_2016"",""coupon_name"":""May Deals 2016"",""discount"":23.32}","Verified","","track","Google Analytics"
"page_summary","Coupon Denied","{""order_id"":""50314b8e9bcf000000000000"",""cart_id"":""923923929jd29jd92dj9j93fj3"",""coupon"":""may_deals_2016"",""reason"":""Coupon expired""}","Verified","","track","Google Analytics"
"page_summary","Coupon Removed","{""order_id"":""50314b8e9bcf000000000000"",""cart_id"":""923923929jd29jd92dj9j93fj3"",""coupon_id"":""may_deals_2016"",""coupon_name"":""May Deals 2016"",""discount"":23.32}","Verified","","track","Google Analytics"
"page_checkout_email","Checkout Started","{""order_id"":""cart_id"",""checkout_id"":""cart_id"",""value"":""revenue after discounts and coupons"",""shipping"":"""",""discount"":"""",""coupon"":"""",""currency"":"""",""products"":[{""product_id"":"""",""category"":"""",""name"":"""",""brand"":"""",""variant"":""e.g color/pattern/model/version"",""price"":""final price"",""position"":""client-side position"",""url"":""url of the product page"",""image_url"":""url of the main image""}]}","Verified","","track","Google Analytics"
"page_checkout_email","Checkout Step Viewed","{""checkout_id"":""cart_id"",""step"":1}","Verified","","track","Google Analytics"
"page_checkout_email","Checkout Step Completed","{""checkout_id"":""cart_id"",""step"":1}","Verified","","track","Google Analytics"
"page_checkout_shipping","Checkout Step Viewed","{""checkout_id"":""cart_id"",""step"":2}","Verified","","track","Google Analytics"
